Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB
batch,r3741709-n386398,0,390,1610094482,3348,38.12,381.2,2194020,16380136,0,0.0,0.0
batch,r3741709-n386398,0,400,1610094492,3348,23.6,236.0,2388928,16896228,0,51.716446999999995,0.0045
batch,r3741709-n386398,0,410,1610094502,3348,3.61,36.1,2460560,16904424,0,6.430915,0.005381
batch,r3741709-n386398,0,420,1610094512,3348,5.47,54.7,2420072,16904424,0,0.7605609999999999,1.762877
batch,r3741709-n386398,0,430,1610094522,3348,39.57,395.7,2357732,16918760,0,0.759684,1.759408
batch,r3741709-n386398,0,440,1610094532,3348,34.54,345.4,2166464,16918756,0,5.703427,0.000386
batch,r3741709-n386398,0,450,1610094542,3348,10.58,105.8,2460564,16937192,0,18.565257,0.007998
batch,r3741709-n386398,0,460,1610094552,3348,10.2,102.0,2199136,16937192,0,1.520245,3.522575
batch,r3741709-n386398,0,470,1610094562,3348,35.77,357.7,2191304,16937192,0,0.0,0.0
batch,r3741709-n386398,0,480,1610094572,3348,33.29,332.9,2181884,16920800,0,0.0,0.0
batch,r3741709-n386398,0,490,1610094582,3348,7.23,72.3,2386112,16937192,0,0.0,0.008439
batch,r3741709-n386398,0,500,1610094592,3348,17.56,175.6,2205508,16937192,0,1.519367,3.521218
batch,r3741709-n386398,0,510,1610094602,3348,34.5,345.0,2204560,16937192,0,0.0,0.0
batch,r3741709-n386398,0,520,1610094612,3348,30.07,300.7,1900100,16122452,0,0.289545,0.0007480000000000001
