timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1621447572.146,0,60,34,4705,27805,54,55,49.97,16
1621447572.249,0,60,34,4705,27805,53,54,58.17,16
1621447572.352,0,7,8,4705,27805,55,55,177.97,16
1621447572.455,0,92,45,4705,27805,55,57,192.61,16
1621447572.558,0,92,45,4705,27805,55,57,204.81,16
1621447572.662,0,100,63,4705,27805,55,59,195.11,16
1621447572.765,0,98,66,4705,27805,55,59,104.74,16
1621447572.868,0,98,66,4705,27805,55,59,200.33,16
1621447572.971,0,85,64,4705,27805,56,59,186.84,16
1621447573.075,0,85,62,4705,27805,57,58,161.18,16
1621447573.178,0,97,62,4705,27805,56,58,195.51,16
1621447573.284,0,100,54,4705,27805,56,59,203.0,16
1621447573.387,0,100,54,4705,27805,56,58,215.79,16
1621447573.49,0,100,60,4705,27805,56,60,202.99,16
1621447573.593,0,100,60,4705,27805,56,59,89.24,16
1621447573.696,0,88,60,4705,27805,56,59,199.57,16
1621447573.799,0,82,62,4705,27805,56,60,230.86,16
1621447573.902,0,82,62,4705,27805,57,59,231.66,16
1621447574.012,0,99,61,4705,27805,56,60,168.49,16
1621447574.115,0,100,54,4705,27805,56,59,206.77,16
1621447574.218,0,100,54,4705,27805,57,59,210.79,16
1621447574.321,0,100,59,4705,27805,56,60,207.94,16
1621447574.424,0,100,59,4705,27805,57,60,165.35,16
1621447574.527,0,94,62,4705,27805,56,60,206.29,16
1621447574.63,0,100,72,4705,27805,57,60,212.9,16
1621447574.734,0,100,71,4705,27805,58,60,155.54,16
1621447574.837,0,99,63,4705,27805,57,60,213.05,16
1621447574.941,0,100,56,4705,27805,57,60,218.77,16
1621447575.046,0,100,56,4705,27805,57,59,183.54,16
1621447575.149,0,100,62,4705,27805,57,61,197.79,16
1621447575.252,0,100,62,4705,27805,56,59,63.49,16
1621447575.356,0,71,45,4705,27805,55,56,51.21,16
1621447575.459,0,0,0,4705,27805,54,54,50.68,16
1621447575.562,0,0,0,4705,27805,54,54,85.69,16
1621447575.665,0,25,21,4705,27805,55,57,187.1,16
1621447575.768,0,25,21,4705,27805,56,58,224.01,16
1621447575.871,0,100,66,4705,27805,57,58,88.94,16
1621447575.974,0,67,44,4705,27805,56,57,205.9,16
1621447576.078,0,67,44,4705,27805,56,58,177.84,16
1621447576.181,0,100,56,4705,27805,57,58,185.38,16
1621447576.284,0,100,58,4705,27805,57,59,192.03,16
1621447576.387,0,100,58,4705,27805,57,61,208.45,16
1621447576.49,0,94,65,4705,27805,56,60,190.24,16
1621447576.593,0,94,64,4705,27805,57,60,233.55,16
1621447576.696,0,100,72,4705,27805,58,60,247.51,16
1621447576.799,0,93,56,4705,27805,57,60,218.7,16
1621447576.902,0,93,56,4705,27805,57,59,214.52,16
1621447577.008,0,100,56,4705,27805,58,60,204.74,16
1621447577.111,0,100,56,4705,27805,57,61,210.14,16
1621447577.214,0,100,63,4705,27805,57,62,212.62,16
1621447577.317,0,94,66,4705,27805,57,62,205.95,16
1621447577.419,0,94,65,4705,27805,58,61,182.24,16
1621447577.522,0,100,62,4705,27805,58,60,150.64,16
1621447577.626,0,100,62,4705,27805,56,58,49.29,16
1621447577.73,0,37,24,4705,27805,55,55,48.82,16
1621447577.833,0,5,5,4705,27805,54,55,68.94,16
1621447577.936,0,5,5,4705,27805,56,57,200.17,16
1621447578.039,0,78,45,4705,27805,56,59,218.33,16
1621447578.142,0,100,55,4705,27805,57,59,186.76,16
1621447578.245,0,100,55,4705,27805,57,60,191.05,16
1621447578.348,0,100,70,4705,27805,57,60,94.67,16
1621447578.452,0,100,70,4705,27805,57,60,189.41,16
1621447578.556,0,81,59,4705,27805,57,61,227.69,16
1621447578.66,0,100,54,4705,27805,57,60,136.74,16
1621447578.763,0,100,54,4705,27805,57,60,198.04,16
1621447578.866,0,96,61,4705,27805,58,61,216.59,16
1621447578.969,0,100,55,4705,27805,58,60,192.31,16
1621447579.074,0,100,55,4705,27805,58,61,191.8,16
1621447579.177,0,100,71,4705,27805,57,61,158.56,16
1621447579.28,0,100,71,4705,27805,58,62,224.95,16
1621447579.383,0,93,67,4705,27805,58,61,241.64,16
1621447579.486,0,99,62,4705,27805,58,62,200.71,16
1621447579.589,0,99,62,4705,27805,58,60,197.96,16
1621447579.692,0,100,55,4705,27805,58,61,216.01,16
1621447579.795,0,100,55,4705,27805,58,61,209.19,16
1621447579.898,0,100,60,4705,27805,58,62,178.17,16
1621447580.004,0,95,63,4705,27805,58,62,201.62,16
1621447580.107,0,95,63,4705,27805,58,62,256.96,16
1621447580.21,0,100,69,4705,27805,59,61,225.37,16
1621447580.312,0,100,69,4705,27805,59,61,192.09,16
1621447580.415,0,99,65,4705,27805,59,61,219.94,16
1621447580.518,0,100,54,4705,27805,59,62,221.18,16
1621447580.621,0,100,54,4705,27805,59,62,209.83,16
1621447580.724,0,100,64,4705,27805,58,63,206.48,16
1621447580.827,0,61,38,4705,27805,57,61,52.94,16
1621447580.93,0,61,38,4705,27805,56,57,93.4,16
1621447581.033,0,43,37,4705,27805,58,60,219.48,16
1621447581.138,0,43,36,4705,27805,58,61,249.71,16
1621447581.241,0,100,61,4705,27805,57,61,112.06,16
1621447581.344,0,85,52,4705,27805,58,60,212.78,16
1621447581.447,0,85,52,4705,27805,58,62,219.9,16
1621447581.55,0,100,55,4705,27805,59,61,191.42,16
1621447581.653,0,100,55,4705,27805,59,62,192.48,16
1621447581.756,0,100,69,4705,27805,58,62,68.65,16
1621447581.86,0,80,55,4705,27805,58,62,203.99,16
1621447581.963,0,80,55,4705,27805,59,62,220.61,16
1621447582.066,0,100,62,4705,27805,60,62,99.76,16
1621447582.169,0,92,58,4705,27805,59,61,186.82,16
1621447582.272,0,92,58,4705,27805,59,62,203.26,16
1621447582.375,0,100,53,4705,27805,59,61,213.62,16
1621447582.478,0,100,53,4705,27805,59,63,204.74,16
1621447582.582,0,100,70,4705,27805,59,63,87.01,16
1621447582.687,0,39,24,4705,27805,57,58,52.49,16
1621447582.79,0,39,24,4705,27805,56,57,67.85,16
1621447582.893,0,31,24,4705,27805,58,60,210.04,16
1621447582.996,0,31,24,4705,27805,59,61,234.59,16
1621447583.099,0,100,64,4705,27805,58,62,68.07,16
1621447583.202,0,44,27,4705,27805,57,57,51.52,16
1621447583.306,0,44,27,4705,27805,58,59,216.16,16
1621447583.409,0,61,37,4705,27805,59,59,172.04,16
1621447583.511,0,100,53,4705,27805,59,60,181.36,16
1621447583.614,0,100,53,4705,27805,59,62,193.14,16
1621447583.717,0,100,72,4705,27805,58,62,230.33,16
1621447583.82,0,100,72,4705,27805,58,62,211.12,16
1621447583.923,0,83,58,4705,27805,59,62,268.6,16
1621447584.028,0,100,62,4705,27805,60,62,256.89,16
1621447584.131,0,100,62,4705,27805,58,60,52.28,16
1621447584.234,0,51,34,4705,27805,59,60,200.76,16
1621447584.337,0,51,34,4705,27805,59,61,207.21,16
1621447584.44,0,100,57,4705,27805,59,61,219.18,16
1621447584.543,0,100,61,4705,27805,59,63,201.15,16
1621447584.649,0,100,61,4705,27805,59,63,81.49,16
1621447584.752,0,74,48,4705,27805,57,59,99.01,16
1621447584.855,0,59,50,4705,27805,58,62,221.05,16
